State,low,high
Q1,0.352112676056338,0.647887323943662
Q2,0.447761194029851,0.552238805970149
Q3,0.432835820895522,0.567164179104478
Q4,0.507246376811594,0.492753623188406
Q5,0.567164179104478,0.432835820895522
Q6,0.549295774647887,0.450704225352113
Q7,0.522388059701493,0.477611940298507
Q8,0.171428571428571,0.828571428571429
Q9,0.185714285714286,0.814285714285714
Q10,0.132352941176471,0.867647058823529
Q11,0.848484848484848,0.151515151515152
Q12,0.579710144927536,0.420289855072464
Q13,0.742857142857143,0.257142857142857
Q14,0.777777777777778,0.222222222222222
Q15,0.819444444444444,0.180555555555556
Q16,0.746478873239437,0.253521126760563
Q17,1,0
